Comment,Designator,Footprint,LCSC,Quantity
PCM5102A,U4,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
BOOT0,"SW1,SW2,SW3",SW_SPDT_PCM12,C109335,3
ESD,"D10,D8,D9",D_SOD-923,C111566,3
16MHz 10pF,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C112972,1
STM32F722RETx,U1,LQFP-64_10x10mm_P0.5mm,C118207,1
120@100MHz,FB1,L_0603_1608Metric,C133937,1
AP7333-33SRG-7,U8,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C150745,1
10nF,"C34,C35,C6",C_0402_1005Metric,C15195,3
4.7pF,"C16,C17",C_0402_1005Metric,C1569,2
100Ω,"R10,R12",R_0402_1005Metric,C22775,2
RED_PWR,"D2,D3",LED_0603_1608Metric,C2286,2
4k7Ω,"R11,R9",R_0402_1005Metric,C23162,2
220Ω,"R15,R22,R23,R28",R_0402_1005Metric,C25091,4
470Ω,"R16,R29",R_0402_1005Metric,C25117,2
47Ω,"R13,R14,R26,R27",R_0402_1005Metric,C25118,4
56Ω,RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,C25512,1
10kΩ,"R1,R21",R_0402_1005Metric,C25744,2
4.7uF,C12,C_0603_1608Metric,C25804,1
1k5Ω,"R4,R5,R6,R7,R8",R_0402_1005Metric,C25867,5
1k8Ω,"R17,R18,R19,R20",R_0402_1005Metric,C25871,4
5k1Ω,"R2,R3",R_0402_1005Metric,C25905,2
100nF,"C13,C18,C19,C2,C20,C26,C28,C3,C32,C33,C4,C44,C5,C9",C_0402_1005Metric,C307331,14
BTN1,"SW4,SW5,SW6",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884,3
10pF,"C10,C11",C_0402_1005Metric,C32949,2
PAM8908JER,U3,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C33233,1
2.2uF,"C23,C24,C40",C_0805_2012Metric,C377773,3
22uF,"C14,C15",C_0805_2012Metric,C45783,2
32.768kHz 7pF,X1,FC-135R_L3.2-W1.5,C48615,1
UART5,"J5,J9",PinHeader_1x04_P2.54mm_Vertical,C5116483,2
I2C,"J3,J4",PinHeader_2x04_P2.54mm_Vertical,C5156676,2
3k9Ω 1%,"R24,R25",R_0402_1005Metric,C51721,2
1uF,"C21,C22,C25,C27,C30,C31,C36,C37,C38,C39,C41,C42,C43,C7,C8",C_0402_1005Metric,C52923,15
GT-USB-7010I,J1,USB-C-SMD_GT-USB-7010I,C5362630,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
GPIO,P1,HDR-TH_16P-P2.54-V-M-R2-C8-S2.54,C68234,1
USER_BLUE,D5,LED_0603_1608Metric,C72038,1
USER_GREEN,D4,LED_0603_1608Metric,C72043,1
SWD,"J2,J6",PinHeader_1x05_P2.54mm_Vertical,C7430361,2
1N4148W,"D6,D7",D_SOD-123,C81598,2
MIDI Out 1,"CN1,CN2,CN3,CN4,CN5,CN6",AUDIO-SMD_PJ-321A-4A,C879743,6
6N137S-TA1,"U6,U7",SOP-8_L9.8-W6.6-P2.54-LS10.3-BL,C92651,2
10uF,"C1,C29",C_0603_1608Metric,C96446,2
